Project_ID,Start_Date,Location,Project_Type,Duration_Days,Complexity,Risk_Level,Area_sqm,Cost_Budgeted,Actual_Duration,Actual_Cost
P0025,2023-09-29,ENB,Dry Lab,392,High,Low,475,2686800,535,2841700
P0026,2024-08-12,ENG,Minor Renovation,213,High,Low,211,94000,255,102400
P0027,2023-06-24,AD,Dry Lab,313,Medium,High,265,1970400,439,2662700
P0028,2024-06-06,AD,Minor Renovation,424,High,Critical,13,15800,640,19200
P0029,2024-08-26,TFDL,Minor Renovation,328,High,High,84,97300,416,115100
P0030,2021-05-01,ENG,Dry Lab,360,Medium,Critical,55,487800,525,642800
P0031,2024-01-09,KNA,Classroom,182,Medium,Low,97,284900,197,289100
P0032,2020-02-27,ENB,Dry Lab,171,Low,Low,72,311600,185,302100
P0033,2022-08-14,ES,Classroom,170,Medium,Medium,55,314900,191,411700
P0034,2024-05-08,SB,Minor Renovation,848,High,Critical,421,475100,1256,609000
P0035,2024-02-15,ENA,Dry Lab,142,Low,Critical,37,166900,157,223100
P0036,2022-05-05,SB,Minor Renovation,400,Medium,Critical,200,336100,575,482400
P0037,2024-11-06,ES,Minor Renovation,318,Medium,Medium,65,55100,430,73100
P0038,2020-07-08,HRIC,Dry Lab,249,Medium,Low,85,408300,329,536000
P0039,2024-12-11,HRIC,Major Renovation,202,Medium,Low,302,806000,223,1029300
P0040,2020-04-29,TFDL,Minor Renovation,355,High,High,82,143600,520,209200
P0041,2022-05-28,KNB,IT/AV,226,Medium,High,80,179200,250,200900
P0042,2020-12-29,KNA,Major Renovation,270,Medium,High,499,1011200,381,1113400
P0043,2020-08-24,END,Classroom,640,High,Critical,477,2478100,892,3492700
P0044,2020-06-24,ENA,IT/AV,428,Medium,Medium,440,621500,485,844100
P0045,2024-06-24,SA,Minor Renovation,222,Low,High,73,103300,239,133900
P0046,2020-03-03,HRIC,Classroom,378,High,Critical,75,566500,514,721000
P0047,2023-06-12,ENC,Minor Renovation,214,Medium,Medium,16,17800,243,18900
P0048,2021-08-13,KNB,Classroom,183,Low,Medium,237,1177300,207,1631900
P0049,2024-12-20,AD,Wet Lab,180,Medium,Medium,25,231000,191,306400
P0050,2020-05-03,KNA,Minor Renovation,288,High,Medium,38,30300,399,42900
P0051,2024-08-27,HMRB,Wet Lab,90,Low,Medium,41,232100,97,287500
P0052,2022-08-15,ENC,Classroom,472,Medium,Critical,63,456200,617,632500
P0053,2022-09-20,AD,Major Renovation,216,High,High,27,83400,242,106700
P0054,2024-04-24,HRIC,Minor Renovation,301,High,High,96,137700,408,197600
P0055,2022-07-29,ENG,Wet Lab,142,Low,Low,125,801800,186,967800
P0056,2020-08-26,END,Minor Renovation,254,Low,High,87,28500,267,38700
P0057,2023-08-05,END,Dry Lab,351,Medium,High,96,540300,397,696700
P0058,2020-12-29,END,Classroom,224,Medium,Medium,77,430300,272,489900
P0059,2023-06-18,KNA,Dry Lab,540,Medium,Critical,52,346400,669,480400
P0060,2020-05-02,SB,Wet Lab,141,Medium,High,9,107100,169,133100
P0061,2024-10-07,AD,Classroom,254,High,Medium,21,71300,345,96100
P0062,2020-09-04,HMRB,Major Renovation,150,Medium,Low,61,257100,167,276800
P0063,2023-12-01,SB,Minor Renovation,253,Medium,High,68,119000,265,148500
P0064,2021-03-08,KNA,Wet Lab,115,Low,Medium,9,56500,143,70600
P0065,2023-05-30,ENF,Minor Renovation,249,Medium,High,27,9400,337,10200
P0066,2022-03-29,HRIC,Minor Renovation,294,Medium,Low,477,508300,360,493900
P0067,2024-05-21,ENF,Major Renovation,498,High,High,469,1028900,726,1319200
P0068,2021-05-12,ENG,Furniture,245,Medium,Medium,98,186400,339,235400
P0069,2020-04-26,END,Classroom,324,High,Medium,60,296000,466,387400
P0070,2022-06-29,TFDL,Minor Renovation,333,Medium,Critical,90,99800,507,146600
P0071,2022-11-01,ENF,Major Renovation,378,Medium,Medium,462,1769800,404,2379800
P0072,2020-12-04,TFDL,Minor Renovation,172,Medium,Medium,54,56400,206,57600
P0073,2020-02-29,END,Minor Renovation,221,Medium,Medium,318,413500,240,478000
P0074,2024-03-15,ENC,Wet Lab,195,Medium,Low,448,3031000,244,4036900
P0075,2021-12-19,TFDL,Major Renovation,291,Medium,Medium,89,303900,354,425400
P0076,2021-07-30,AD,Classroom,535,Medium,Critical,58,478700,657,724700
P0077,2020-06-07,ENB,Minor Renovation,176,Medium,Medium,46,32900,228,45600
P0078,2024-11-02,SA,Major Renovation,266,Low,Medium,365,977100,278,1006900
P0079,2021-05-04,AD,Major Renovation,327,Medium,High,63,282100,408,385300
P0080,2020-05-29,KNA,Classroom,696,High,Critical,76,795700,873,995100
P0081,2020-05-11,TFDL,Major Renovation,117,Medium,Medium,31,81700,142,86200
P0082,2020-06-11,ENF,Minor Renovation,164,Medium,High,16,22700,196,32200
P0083,2024-10-08,AD,Minor Renovation,115,Low,Medium,82,37700,112,45800
P0084,2022-04-01,HMRB,Major Renovation,145,Medium,Medium,29,69300,197,69800
P0085,2020-05-28,TFDL,Classroom,208,Low,Medium,318,1677600,217,2209500
P0086,2022-03-27,END,Classroom,231,Low,High,192,1023400,257,1472100
P0087,2023-11-10,HMRB,Minor Renovation,194,Low,Medium,229,190700,223,204500
P0088,2020-10-27,HRIC,Classroom,396,Medium,Critical,95,724200,605,1088900
P0089,2022-07-23,KNB,Minor Renovation,103,Medium,Low,41,34000,102,43800
P0090,2024-07-19,SA,Minor Renovation,279,Medium,Critical,141,74000,325,109200
P0091,2021-07-22,ENB,Classroom,153,Medium,High,40,135700,166,143500
P0092,2021-06-23,ENG,Minor Renovation,270,High,Low,101,138000,344,182100
P0093,2021-05-13,AD,Minor Renovation,280,Medium,Medium,199,98800,281,125600
P0094,2023-08-08,HRIC,Minor Renovation,405,Medium,High,95,65000,445,88500
P0095,2021-11-12,ES,Minor Renovation,296,High,Low,477,192300,332,258500
P0096,2020-10-16,END,Wet Lab,191,Medium,Low,268,1335000,261,1642600
P0097,2024-11-23,HRIC,Minor Renovation,297,Medium,High,492,545400,409,598700
P0098,2023-11-23,KNB,Minor Renovation,324,Medium,High,87,93700,426,111800
P0099,2023-10-09,HRIC,Wet Lab,166,Low,High,69,680700,199,838300
P0100,2020-07-02,SB,Minor Renovation,405,High,High,50,83800,604,121100
P0101,2024-07-27,ENG,Minor Renovation,90,Low,Low,19,18400,114,22600
P0102,2024-06-03,ENA,Minor Renovation,264,High,Critical,15,26200,392,33700
P0103,2023-09-12,ENF,Major Renovation,392,Medium,Medium,429,782000,510,910300
P0104,2020-02-11,SB,Minor Renovation,327,High,Medium,57,61600,432,78800
P0105,2021-07-19,HMRB,Dry Lab,313,Medium,Medium,445,3121900,331,3922800
P0106,2022-03-04,ENC,Wet Lab,184,High,Low,17,137100,245,140100
P0107,2022-10-16,KNA,Classroom,237,Medium,Critical,43,376300,302,550100
P0108,2024-04-09,ENB,Minor Renovation,299,Medium,Medium,216,62200,394,84200
P0109,2020-08-13,HRIC,Classroom,310,High,High,51,430400,433,610000
P0110,2024-02-08,SA,Minor Renovation,266,Medium,Medium,468,361800,315,463800
P0111,2024-02-08,END,Major Renovation,324,High,High,331,1344300,484,1753500
P0112,2024-07-14,HRIC,Dry Lab,378,Medium,High,51,307600,446,356600
P0113,2023-01-07,KNB,Minor Renovation,306,High,High,79,72300,403,92500
P0114,2022-01-18,ENB,Minor Renovation,288,Medium,High,443,152200,365,217900
P0115,2024-01-06,ENB,Wet Lab,175,Low,High,318,1970400,200,2289300
P0116,2023-08-01,AD,Classroom,291,Medium,Medium,73,286400,313,355100
P0117,2020-11-06,KNA,Dry Lab,340,High,Low,473,2761400,393,3777200
P0118,2024-06-23,AD,Minor Renovation,291,High,Medium,93,124900,419,143700
P0119,2021-12-13,HMRB,Minor Renovation,432,High,Medium,183,148900,588,195800
P0120,2024-08-24,HRIC,Minor Renovation,164,Medium,Low,314,183500,177,242500
P0121,2024-01-04,SA,Minor Renovation,388,High,Medium,62,66300,460,93000
P0122,2021-12-18,ES,Wet Lab,162,Medium,Medium,233,1553100,212,2182100
P0123,2020-09-07,SA,Minor Renovation,378,Medium,High,480,173700,413,242200
P0124,2022-05-05,ENF,Minor Renovation,103,Low,Medium,39,31500,106,42400
P0125,2022-11-18,HRIC,Classroom,248,Medium,Medium,152,722100,325,883700
P0126,2022-03-14,ENF,Wet Lab,182,Medium,High,46,281900,191,346700
P0127,2024-04-19,END,Wet Lab,243,Medium,High,61,599800,337,733500
P0128,2022-06-11,ENB,Minor Renovation,196,High,Medium,13,20800,246,25300
P0129,2022-05-29,ENA,Minor Renovation,267,High,High,35,33600,360,41900
P0130,2021-12-31,ENF,Minor Renovation,148,Medium,High,5,6700,177,8300
P0131,2022-12-04,HRIC,Minor Renovation,370,High,Medium,76,82600,456,109000
P0132,2023-05-06,KNB,Minor Renovation,371,Medium,High,238,340600,511,475400
P0133,2024-07-30,ENG,Wet Lab,271,High,Medium,7,90200,389,111300
P0134,2023-07-16,HRIC,Wet Lab,128,High,Low,42,292100,138,362400
P0135,2022-08-01,KNA,Minor Renovation,372,High,Critical,12,16700,495,21400
P0136,2023-11-10,KNB,Minor Renovation,212,Medium,High,72,38100,288,49600
P0137,2024-05-04,KNA,Furniture,570,Medium,Critical,494,1091000,684,1713400
P0138,2023-05-16,ENG,Minor Renovation,270,High,High,21,34100,333,51000
P0139,2023-12-11,ENC,Major Renovation,198,High,Low,204,493900,267,546700
P0140,2024-08-19,SA,Dry Lab,160,Medium,Medium,21,147400,220,158800
P0141,2021-03-24,ENC,Minor Renovation,285,Medium,Critical,16,19900,374,30800
P0142,2023-09-25,ENF,Wet Lab,387,Medium,Critical,93,1207800,484,1816800
P0143,2020-09-16,ENG,Minor Renovation,165,Low,High,23,25700,193,29200
P0144,2020-01-14,ES,Minor Renovation,330,Medium,Critical,12,9100,445,10600
P0145,2021-10-07,ENA,Dry Lab,498,High,Critical,117,884500,695,1392600
P0146,2021-05-03,ENA,Wet Lab,321,Medium,Medium,77,599400,418,846100
P0147,2023-01-04,KNA,Minor Renovation,265,Medium,Low,226,256800,279,326600
P0148,2024-04-14,ENG,Major Renovation,297,High,High,15,28200,415,32700
P0149,2020-01-12,ENG,Dry Lab,186,Medium,Low,65,324200,249,389200
P0150,2024-07-13,ENC,Wet Lab,288,High,Medium,5,34300,408,48000
P0151,2023-07-29,END,Major Renovation,183,Medium,Medium,49,104500,243,120300
P0152,2022-11-29,ES,Minor Renovation,246,Medium,High,52,57200,304,82500
P0153,2023-10-26,HRIC,Major Renovation,273,Medium,High,73,153100,384,197400
P0154,2022-03-19,ENA,Major Renovation,221,Medium,Medium,296,835400,314,1157100
P0155,2024-01-07,END,Minor Renovation,226,High,Medium,57,82300,255,102600
P0156,2020-11-14,AD,Classroom,151,Low,Low,69,210700,185,252700
P0157,2021-06-26,SB,Minor Renovation,345,High,Medium,93,170700,363,224500
P0158,2022-11-23,TFDL,Minor Renovation,540,High,High,312,352200,741,510200
P0159,2023-09-16,AD,Dry Lab,468,Medium,High,478,3027200,585,4041200
P0160,2021-07-15,SA,Furniture,367,High,Medium,153,460500,389,544300
P0161,2020-09-22,ES,Dry Lab,228,High,Medium,29,182400,256,195300
P0162,2022-09-10,TFDL,Wet Lab,223,High,Medium,25,325800,307,394900
P0163,2020-12-23,END,Minor Renovation,195,Medium,High,46,62000,232,86000
P0164,2020-08-23,HRIC,Dry Lab,167,Medium,Medium,29,144800,177,183300
P0165,2020-06-24,END,Dry Lab,318,Medium,Medium,66,300700,348,310800
P0166,2020-12-04,ENF,Dry Lab,164,Medium,Medium,103,576300,220,816800
P0167,2022-09-07,ENA,Minor Renovation,267,Medium,Medium,81,82400,359,112400
P0168,2022-09-21,ENG,Minor Renovation,378,Medium,High,67,40900,506,56300
P0169,2022-04-02,AD,Minor Renovation,288,High,Critical,27,26200,402,32400
P0170,2023-10-13,ENC,Minor Renovation,270,Medium,Medium,89,28300,359,31800
P0171,2020-11-19,SA,Wet Lab,120,Low,Low,25,177700,108,180600
P0172,2022-05-06,ES,Wet Lab,297,Medium,Low,428,3501900,374,4392500
P0173,2021-05-02,ENA,Minor Renovation,90,Low,Medium,8,8200,99,10300
P0174,2022-07-13,KNB,Minor Renovation,249,Medium,High,28,8600,294,10600
P0175,2024-01-18,ENG,Wet Lab,189,Medium,Medium,33,264900,239,265200
P0176,2021-12-03,AD,Classroom,800,High,Critical,398,2096400,1068,3261700
P0177,2022-10-15,TFDL,Classroom,192,Low,High,434,1656800,270,1752400
P0178,2024-04-09,AD,Classroom,282,High,Low,79,403600,358,416000
P0179,2022-07-19,TFDL,Minor Renovation,218,Medium,Medium,76,34300,265,46900
P0180,2023-08-07,END,Dry Lab,303,Medium,High,56,253400,373,364800
P0181,2020-01-09,ENC,Minor Renovation,151,Low,High,27,16300,209,21900
P0182,2020-03-07,HMRB,Furniture,256,Medium,Low,51,82000,284,91600
P0183,2021-03-18,HMRB,Major Renovation,404,High,Low,381,1589000,426,2084500
P0184,2020-04-21,HMRB,Furniture,186,High,Low,39,135600,235,174600
P0185,2022-05-18,ENA,Minor Renovation,190,Medium,Medium,21,13700,195,17400
P0186,2020-03-11,HMRB,Dry Lab,360,Medium,Critical,29,244400,541,292000
P0187,2024-07-13,HMRB,Minor Renovation,251,Medium,Medium,71,92800,274,109500
P0188,2020-02-13,ENA,Minor Renovation,378,Medium,Medium,496,225200,528,302700
P0189,2023-02-15,AD,Classroom,226,Medium,High,84,500300,312,629800
P0190,2024-04-22,KNB,Minor Renovation,201,High,Low,89,126600,243,162400
P0191,2020-02-26,TFDL,Minor Renovation,510,High,High,428,437400,659,636000
P0192,2024-10-01,ENB,Classroom,251,Medium,Medium,215,908400,292,1275400
P0193,2021-12-22,AD,Minor Renovation,127,Medium,Low,20,21400,156,26400
P0194,2021-02-08,ENA,Major Renovation,98,Low,Medium,5,15100,99,16400
P0195,2023-09-23,HRIC,Minor Renovation,237,Medium,Medium,97,103300,285,107800
P0196,2023-11-23,ES,Classroom,201,Medium,Medium,49,373500,209,474500
P0197,2024-11-21,KNB,Major Renovation,315,Medium,High,448,1749200,439,2126400
P0198,2020-03-26,ENB,Minor Renovation,261,Medium,Medium,73,83800,353,89600
P0199,2020-12-06,HMRB,Dry Lab,228,High,Low,99,889400,273,1114600
P0200,2020-03-14,HMRB,Minor Renovation,98,Low,Low,13,6100,89,7400
P0201,2023-07-25,END,Minor Renovation,317,Medium,High,107,86500,387,101700
P0202,2024-07-30,SA,Minor Renovation,144,Low,High,89,45700,179,47800
P0203,2024-05-26,ENF,Major Renovation,350,High,Medium,395,744300,487,863000
P0204,2021-01-14,KNA,Minor Renovation,310,Medium,High,68,41700,392,45500
P0205,2020-12-27,HMRB,Major Renovation,315,Medium,Medium,72,158400,415,218900
P0206,2021-11-15,ENB,Furniture,236,Medium,High,38,75900,288,90400
P0207,2020-06-07,END,Classroom,417,High,Medium,90,533300,579,582600
P0208,2024-11-18,ENA,Dry Lab,210,Medium,Medium,89,552500,279,760600
P0209,2020-08-29,SA,Minor Renovation,276,Low,Critical,100,135400,342,190600
P0210,2022-03-31,AD,Dry Lab,354,High,High,29,236400,469,337700
P0211,2021-04-11,END,Minor Renovation,90,Low,Medium,35,26800,88,34300
P0212,2020-05-25,HRIC,IT/AV,157,Low,High,83,118500,206,160300
P0213,2022-10-12,KNA,Minor Renovation,300,High,High,47,18600,427,23100
P0214,2022-10-31,KNB,Wet Lab,118,Low,Low,89,374900,145,468100
P0215,2024-12-24,AD,Classroom,632,High,Critical,363,2244400,802,3389000
P0216,2024-12-26,ENB,Minor Renovation,486,High,High,337,519400,660,777700
P0217,2021-05-25,HMRB,Dry Lab,204,Medium,Low,430,2421700,248,2741200
P0218,2022-03-12,ENC,Classroom,164,Medium,Low,72,227000,219,217400
P0219,2024-10-28,ENA,Wet Lab,146,Medium,Low,93,617700,199,660300
P0220,2023-07-29,TFDL,Major Renovation,199,Low,Medium,97,118100,204,157000
P0221,2021-07-20,END,Minor Renovation,90,Low,Low,30,24600,92,31200
P0222,2023-05-19,HMRB,Major Renovation,115,Low,Low,40,115900,125,133300
P0223,2023-04-15,ENF,Minor Renovation,445,High,High,86,149000,630,196200
P0224,2021-03-19,TFDL,Furniture,394,Medium,High,234,627900,516,875400
P0225,2020-08-01,KNB,Wet Lab,222,Low,High,384,3557300,263,4783900
P0226,2022-10-12,HMRB,Dry Lab,418,High,High,71,488500,543,547600
P0227,2021-12-04,SB,Minor Renovation,190,Low,Medium,66,69700,213,73100
P0228,2022-02-09,HMRB,Dry Lab,354,Medium,High,252,1704600,437,2182600
P0229,2021-10-05,ENG,Wet Lab,253,Medium,High,62,426800,359,576200
P0230,2020-10-12,END,Minor Renovation,168,Medium,Low,83,91400,189,91500
P0231,2020-01-31,TFDL,Dry Lab,117,Low,Low,57,216300,141,258900
P0232,2021-11-14,KNB,Minor Renovation,444,Low,Critical,439,566300,665,765500
P0233,2023-03-06,KNA,Major Renovation,354,Medium,Low,354,1036500,414,1307700
P0234,2022-09-23,KNA,Minor Renovation,504,Medium,Critical,76,51700,620,75900
P0235,2023-12-07,KNB,Major Renovation,237,Low,High,421,950900,328,1181500
P0236,2022-01-10,END,Minor Renovation,128,Low,Medium,47,19500,160,21000
P0237,2023-07-04,SA,Major Renovation,136,Medium,Medium,6,20400,154,26500
P0238,2024-01-01,SA,Minor Renovation,540,High,High,96,157700,805,199400
P0239,2024-07-04,ENG,Classroom,253,Medium,Medium,61,380300,269,515700
P0240,2023-11-04,TFDL,Wet Lab,468,High,Low,379,2581600,546,3611800
P0241,2024-08-31,ENF,Minor Renovation,270,High,High,345,613200,377,773600
P0242,2023-03-10,ENA,Wet Lab,97,Low,Low,35,172700,117,215800
P0243,2021-04-21,HRIC,Dry Lab,324,Medium,Medium,64,254500,385,316600
P0244,2020-11-10,END,Classroom,270,Medium,High,24,127200,300,140900
P0245,2021-08-04,KNB,IT/AV,372,High,Critical,90,294000,505,449000
P0246,2021-11-26,ENB,Minor Renovation,263,Low,High,122,46100,358,58800
P0247,2022-10-15,HRIC,Minor Renovation,175,Medium,High,32,39700,205,48300
P0248,2020-01-31,TFDL,Minor Renovation,184,High,Medium,27,25400,254,36300
P0249,2024-10-29,ENG,Wet Lab,163,Low,Medium,71,529600,176,706600
P0250,2022-05-07,ENC,Major Renovation,178,High,Low,38,131200,209,182600
P0251,2022-10-13,KNA,Classroom,418,High,High,86,617600,594,906800
P0252,2023-10-10,SB,Classroom,157,Medium,Low,25,150200,165,145800
P0253,2023-01-10,HMRB,Dry Lab,342,Medium,Critical,47,362800,443,556300
P0254,2023-07-10,TFDL,Minor Renovation,226,Medium,Medium,451,428000,265,589700
P0255,2023-12-12,SA,Minor Renovation,300,High,Low,198,271900,327,364600
P0256,2020-05-20,ENA,Dry Lab,173,Medium,Low,88,466800,185,464300
P0257,2024-09-19,END,Wet Lab,424,High,Medium,61,684000,554,843900
P0258,2021-03-06,AD,Minor Renovation,127,Medium,Medium,12,10800,169,11500
P0259,2020-07-26,KNB,Classroom,117,Low,High,30,110700,118,134500
P0260,2023-03-22,ES,Major Renovation,666,High,Critical,55,420100,1003,580500
P0261,2021-12-06,ES,Minor Renovation,320,High,Critical,47,55500,431,80300
P0262,2024-11-23,KNA,Minor Renovation,522,High,High,66,100700,714,111700
P0263,2022-02-16,AD,Major Renovation,209,Medium,High,207,847400,235,1156100
P0264,2023-03-08,ENA,Wet Lab,130,Low,Medium,38,233800,162,302000
P0265,2021-05-30,SA,Dry Lab,164,Medium,High,27,214100,227,264100
P0266,2023-04-03,HMRB,Classroom,276,Low,Medium,374,1844400,353,2475800
P0267,2020-11-14,ENF,Minor Renovation,189,High,Medium,24,15700,262,19700
P0268,2023-07-04,ENC,Wet Lab,367,Medium,High,138,964600,515,1077100
P0269,2021-10-18,ENB,Major Renovation,912,High,Critical,438,2176000,1358,2935700
P0270,2020-01-28,SB,Minor Renovation,144,Medium,High,20,25200,207,32900
P0271,2021-05-16,ENF,Dry Lab,223,Medium,Medium,427,2529600,320,3399700
P0272,2022-09-28,ENA,Minor Renovation,321,High,Low,66,60300,365,84400
P0273,2022-12-31,ENA,Minor Renovation,272,Medium,Medium,224,249000,281,344000
P0274,2024-06-05,ES,Classroom,90,Low,Low,21,54500,94,63900
P0275,2024-06-30,END,Minor Renovation,109,Medium,Medium,16,7500,124,8400
P0276,2022-09-22,ENC,Minor Renovation,355,High,High,63,113400,476,142500
P0277,2023-10-19,KNB,Classroom,344,Medium,High,195,1387000,380,1770800
P0278,2021-06-16,HRIC,Classroom,378,High,High,61,253000,464,293300
P0279,2020-04-15,ENC,Major Renovation,211,Medium,Low,336,554800,248,623100
P0280,2021-03-02,SB,Dry Lab,268,High,Medium,14,122400,330,144800
P0281,2023-06-26,ENB,Minor Renovation,225,Low,High,87,82000,251,96700
P0282,2020-03-14,SA,Minor Renovation,196,Medium,Medium,40,42000,219,52300
P0283,2020-04-11,SB,Dry Lab,357,High,Low,79,647200,415,880000
P0284,2022-10-12,ENC,Minor Renovation,340,Medium,High,60,70700,404,92400
P0285,2021-11-02,KNB,Classroom,163,High,Medium,40,241900,206,272500
P0286,2020-03-01,KNA,Dry Lab,352,High,Critical,23,237900,445,340900
P0287,2022-08-27,ENA,Minor Renovation,204,Medium,Low,305,343700,271,349100
P0288,2020-10-05,ENF,Classroom,153,Low,Medium,79,391000,159,384600
P0289,2024-03-17,KNB,Classroom,162,Medium,High,42,282000,231,317400
P0290,2023-05-13,ENF,Minor Renovation,183,Medium,Medium,92,105200,212,113100
P0291,2023-01-26,HMRB,Wet Lab,374,High,Medium,62,774600,475,1131600
P0292,2020-05-18,SA,Wet Lab,171,Medium,Low,76,534800,177,543400
P0293,2021-09-24,ENG,Major Renovation,280,Medium,Medium,90,174500,349,232700
P0294,2020-05-27,SA,Classroom,204,High,Low,86,341000,206,471800
P0295,2023-08-08,SB,Dry Lab,384,Medium,High,65,450700,515,485300
P0296,2020-10-15,AD,Minor Renovation,618,High,Critical,248,289000,817,439900
P0297,2022-06-23,HMRB,Minor Renovation,285,High,High,43,71900,369,105200
P0298,2021-09-01,KNA,IT/AV,90,Low,Low,8,14300,107,13200
P0299,2020-05-02,KNB,Wet Lab,141,Low,Medium,5,35500,182,43300
P0300,2022-11-02,ENC,Minor Renovation,371,Medium,High,250,151100,440,209400
P0301,2024-06-06,ENC,Minor Renovation,144,High,Medium,20,15200,186,22000
P0302,2022-08-20,ENA,Minor Renovation,153,Medium,Low,164,164700,156,210900
P0303,2020-12-30,KNA,Dry Lab,216,Medium,Medium,120,656900,254,887200
P0304,2024-02-03,KNA,Classroom,164,Low,Low,475,1908100,218,1939000
P0305,2020-05-07,ENF,Minor Renovation,135,Medium,Medium,15,13900,158,17800
P0306,2022-04-29,ES,Classroom,367,High,Medium,162,922800,448,1270500
P0307,2021-02-09,ENB,Dry Lab,180,Medium,Low,54,305300,187,304000
P0308,2021-04-17,KNB,Wet Lab,240,High,Low,356,3251000,315,4306400
P0309,2023-12-15,TFDL,Major Renovation,396,High,Medium,340,1660000,482,1980600
P0310,2021-11-10,SB,Dry Lab,198,Low,Medium,63,259900,206,273900
P0311,2024-04-11,ES,Major Renovation,288,High,Medium,60,256300,384,351600
P0312,2020-11-24,TFDL,IT/AV,166,Low,High,26,64900,199,67400
P0313,2020-11-13,KNA,Dry Lab,273,High,High,21,183800,300,210000
P0314,2021-10-01,ENF,Minor Renovation,209,Medium,Low,337,343700,236,394700
P0315,2024-12-16,ENB,Classroom,360,High,Medium,58,379400,515,484300
P0316,2020-12-05,END,Dry Lab,270,Medium,High,63,390100,355,537200
P0317,2023-11-26,HMRB,Dry Lab,148,Medium,Low,266,1523700,205,1531600
P0318,2022-01-28,AD,Dry Lab,180,Medium,Critical,38,314900,213,476400
P0319,2020-08-07,ENA,Minor Renovation,116,Low,Medium,22,10400,117,13100
P0320,2020-06-21,ENC,Dry Lab,254,High,Medium,26,142800,327,154300
P0321,2022-09-01,HMRB,Dry Lab,288,High,Medium,39,380000,332,407700
P0322,2021-04-14,TFDL,Minor Renovation,253,Medium,Medium,173,134300,311,145900
P0323,2024-12-09,SB,Minor Renovation,219,Medium,High,50,68500,272,94000
P0324,2023-03-27,END,Minor Renovation,276,High,Low,189,107200,284,127800
P0325,2022-01-25,ENA,Wet Lab,153,High,Medium,48,591500,219,651800
P0326,2022-01-16,END,Minor Renovation,126,Low,High,48,41400,128,53500
P0327,2020-04-14,HMRB,Minor Renovation,127,Medium,Medium,48,53500,162,72300
P0328,2020-07-19,ES,Wet Lab,165,Low,High,44,461700,165,565000
P0329,2024-09-06,AD,Minor Renovation,399,Medium,Medium,382,171900,536,187000
P0330,2020-10-02,KNA,Wet Lab,197,Medium,Medium,123,1049200,217,1248800
P0331,2024-10-10,SA,Minor Renovation,342,High,Low,94,73100,397,100400
P0332,2024-08-14,ENB,Minor Renovation,315,Medium,Critical,35,41500,381,59400
P0333,2024-10-09,KNB,Minor Renovation,302,High,Medium,74,39600,344,41700
P0334,2021-09-09,HRIC,Minor Renovation,249,High,Medium,22,18800,315,20100
P0335,2021-06-27,KNA,Classroom,299,Medium,Medium,339,1964000,342,2674500
P0336,2021-12-21,HMRB,Major Renovation,672,High,High,382,2315500,927,3423000
P0337,2024-04-05,HRIC,Major Renovation,222,Low,High,79,250800,248,266300
P0338,2024-02-18,HRIC,Minor Renovation,220,Medium,High,9,3500,298,4200
P0339,2022-04-05,END,Classroom,441,Medium,High,391,2227500,591,3157300
P0340,2021-08-08,ENA,Major Renovation,294,High,High,7,34200,381,41500
P0341,2022-10-12,SA,Major Renovation,340,Medium,High,284,918100,481,1282700
